# Pre-registration attestation ledger
# format: <iso-timestamp>  <sha256>  <repo-path>  <git-head-when-attested>
# rules: append-only; never edit existing rows; anchor cumulative hash externally
# (METHODOLOGY.md Rule 9)

2026-05-22T15:40:01Z  6338db1b1d0bcdba864644acf4bfe4e45750664a618a3b25d5fde06c1d96d1b6  examples/PREDICTIONS-124.md  5a80a97
2026-05-22T15:40:01Z  6b4930d0d57e67f6e6056708753b57d74fa5c4ac69aebcd150aa3ce53f180906  examples/PREDICTIONS-125.md  5a80a97
2026-05-22T15:40:01Z  3ef3c2b92eb9502d9b5ba96734df6ac92cfc95e0742d5d7e07cc50ceb9d6b1a8  examples/PREDICTIONS-126.md  5a80a97
2026-05-22T15:45:15Z  5a45b951c0963824ad1a540fc9463c6c126bc6a79806639b4fd4d9bd677634c2  examples/PREDICTIONS-127.md  0354e81
2026-05-22T16:50:04Z  3d0a924e82ab819571e33a6547ab078c008c9c2af2f32f67c639ddc6b3ecbcf3  examples/PREDICTIONS-128.md  addab87
2026-05-22T17:23:22Z  12cf94dbea01303b250d332494e3fd4052e1d9a6dd9219a645763e2fa933d8a7  examples/PREDICTIONS-129.md  308fbe3
2026-05-22T17:44:35Z  a1c48cc2253769c41af4dc1aa434252a9c77f8f2606da4a4cce7b8c3cc8eb510  examples/PREDICTIONS-130.md  a86686d
2026-05-22T18:33:57Z  1999497f3ba49c8b3d0fc002dbf296808cd70a6d690928ec11250271b9cb5feb  examples/PREDICTIONS-131.md  2d1475e
2026-05-22T23:35:46Z  fda5bf345c59b28ae90c89d054d7afc935439ed93b1d5373b07879a82fe8601c  examples/PREDICTIONS-132.md  67fd9e2
2026-05-22T23:36:12Z  dd9fd9aa0a59d3c96284eddeee0bb1faade3d72b29eb60e70605822975b2b25c  examples/PREDICTIONS-132.md  67fd9e2
2026-05-22T23:57:02Z  dad79781c25ae7ca79aa17f4ce1ede1f6919f19a8d1d57ff6aec391e99cb723a  examples/PREDICTIONS-133.md  3e4e895
2026-05-23T00:06:27Z  f0a16a4292782fb94ad2f494662233c8789c6d8431b9f16ae3fbd08eed233c29  examples/PREDICTIONS-134.md  1f004c5
2026-05-23T00:51:36Z  6dbab4c9eeb78974e7016ebdebf2a26e2158f0c32a1206049e7f1d2f0c9d4e83  examples/PREDICTIONS-135.md  76ab23d
2026-05-23T01:07:41Z  c6540900fa2c8e6cddbbf2d2562fe909972499b11ef21f264c0f871a2209ff02  examples/PREDICTIONS-136.md  e98ad84
2026-05-23T01:26:02Z  d4273f4a119b00875807eb874ca14dbd6b3c820493933ccc5bf954f45fa8fd41  examples/PREDICTIONS-137.md  390a510
2026-05-23T01:47:26Z  43061b7101b4d6bcdfc38bf0078cadd897675964a9b386fcce0dcd0c6e6f2104  examples/PREDICTIONS-138.md  ebf40c5
2026-05-23T02:21:23Z  ce715fbb026e8a59914948f25033546350208ddeda630f83a8c107bbe7219865  examples/PREDICTIONS-139.md  5d6725a
2026-05-23T02:29:24Z  645488b3a5108038e2eccbb59d4fe712f0e53c8ab8410c3fe65e5c65baf95c67  examples/PREDICTIONS-140.md  d37aea1
2026-05-23T02:50:47Z  cbbb51f7ea1e7fa79fdeb00ce868cb60310e15ebe75c9c75681066dd7b5b3b2e  examples/PREDICTIONS-141.md  ee5567a
2026-05-23T03:18:25Z  187aead9833eee9627e036d8bbf834ce72fab80e481c19d7ec3954848493fbcd  examples/PREDICTIONS-142.md  ff813ae
2026-05-23T03:44:43Z  c07149687819047c4fe547310e34f72178a17dd3272cb587abe3e58357ea25d7  docs/META-SEMANTICS.md  36fb9ee
2026-05-23T03:52:02Z  976bef1c8ec16997a89e351d4e2ab19acd005570db2b9a09f9dd5b84e47128a0  docs/META-SEMANTICS.md  ec7370f
2026-05-23T04:39:53Z  3e37ea7a668f31ae8b016e1ffdc4297ecd67d41aff7493c4a0aa4c35324e53f4  docs/mining_protocol.md  2421e0f
2026-05-23T05:17:13Z  f18905872aa51b68e418a9448f2c2d60d15fdd3cb9145f9b5a9694096a7ca02a  docs/META-SEMANTICS.md  78143cf
2026-05-23T05:17:17Z  f18905872aa51b68e418a9448f2c2d60d15fdd3cb9145f9b5a9694096a7ca02a  docs/META-SEMANTICS.md  78143cf
2026-05-23T05:22:37Z  bedcebda9c839ce7c1a5fb3ebdcb9e86f2792aba2ed8d0258a0f2060fd93fdcc  examples/PREDICTIONS-147.md  67cab83
2026-05-23T14:41:56Z  9e3bb54014a90e7f4c0fbde1f741fb30a1d33462db27683ec6aa4736947eeff6  examples/PREDICTIONS-147.md  67cab83
2026-05-23T15:56:56Z  ea16c0f1a0b37a44e7e77a5456ddd1e15f2b4578c77e159d81b2fd25b23c6f91  examples/PREDICTIONS-149.md  fb76d74
2026-05-23T16:24:09Z  95127a34a811dc8b41a4e6f020fd550d3754a69638f9fcb38e9284bf6d6ecf4b  examples/PREDICTIONS-155.md  7664dd9
2026-05-24T00:18:29Z  7a733c19ad023b7c017971919a056a68db2dff493d319ff6ee329046779c2d78  examples/PREDICTIONS-158.md  aa5842d
2026-05-24T00:37:50Z  661ce7e6401c4a6e0d09c5f356002b8497ef262a3665285b9801e73ff531e191  examples/PREDICTIONS-160.md  41d548c
2026-05-24T01:21:39Z  982572883c46d449ba149dd04f9e50036ee1a78159565d58cb43ebad1bae1db3  examples/PREDICTIONS-163.md  7d1bc8c
2026-05-24T01:50:14Z  864a9e6b245aa77e2bdaaddf2070176c93b144435e072e73a241057bd20dc25b  examples/PREDICTIONS-167.md  f5760a0
2026-05-24T02:31:43Z  769eb89726ab267b72c2bb3bb9aea9069db894677f8966d68a747e66eac9e40e  examples/PREDICTIONS-171.md  8d64c7a
2026-05-24T02:36:06Z  0549ee98fa64f3c88f2c0a23c679f2c8b4df9bff1c44031d4afb09b68fda0154  examples/PREDICTIONS-171.md  3a1b308
2026-05-24T03:18:00Z  35312e99da9f1584133f403b39977d2385abd1bfda1fea4666b3d4f65216790b  examples/PREDICTIONS-177.md  1f6bf76
2026-05-24T03:27:44Z  6881b9079a6a48aee6a0bed0ba95ec8d880335149466252f4853c379d38aca93  examples/PREDICTIONS-178-alphabet-archaeology.md  2aef3f7
2026-05-24T04:09:39Z  b7e070b8bdad5f7713bae6aea54818f38c009377c32e8789f9d0887f113711be  examples/PREDICTIONS-177.md  bd2054a
2026-05-24T04:09:39Z  87c8221016d2d9b16c774e135f548f3a67344f11bbb4a1ab29e3d534253d53d4  examples/PREDICTIONS-178-alphabet-archaeology.md  bd2054a
2026-05-24T04:22:21Z  ef2565168eca50b15b8ed69b26c3202dec85c7b7d6fd7c11a241653bfe18aedd  examples/PREDICTIONS-179-persistence-layer.md  175face
2026-05-24T04:27:05Z  23946960c27f20be64034ef3edde8a71ba73a8c32a96de4652852b5ddade024c  examples/PREDICTIONS-179-persistence-layer.md  65d582e
2026-05-25T19:26:25Z  f8c3049de36eac3006514ef4f7abb3fb5ee3ccaa54b47c9bced268670f8fc1f7  examples/PREDICTIONS-179-persistence-layer.md  5cbf5bd
